rank,label,candidate_hidden,candidate_learning_rate,candidate_batch_size,candidate_seed,gpu_score,gpu_acc_mean,gpu_f1_mean,gpu_best_seed_acc,gpu_best_seed_f1,run_id,run_name,hidden,output_head,best_epoch,mode,threshold,split,samples,loss,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,duration_ms,dense_ops_total,sparse_ops_total,estimated_speedup,active_total,activation_slots_total,avg_active_count,avg_active_ratio,avg_sparsity,avg_active_by_layer,max_abs_diff_from_dense,mismatch_count_from_dense
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.07500000,test,100,0.78136367,0.50000000,0.50000000,0.38000000,0.43181818,31,19,31,19,12,16640000,14837049,1.12151682,26686,60800,88.95333333,0.43891447,0.56108553,L0=6.57/32;L1=32.52/64;L2=227.77/512,0.01901401,2
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,0.881118,0.584524,0.569265,0.64,0.660377,64a5ffeaa827,top1_32x64x512_lr0p01_b16_s24,32x64x512,sigmoid1,57,sparse_threshold,0.10000000,test,100,0.78463074,0.49000000,0.48717949,0.38000000,0.42696629,30,20,31,19,12,16640000,14792312,1.12490867,25818,60800,86.06000000,0.42463816,0.57536184,L0=6.42/32;L1=31.68/64;L2=220.08/512,0.03604976,1
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,dense,0.00000000,validation,100,0.74326984,0.54000000,0.57142857,0.32000000,0.41025641,38,12,34,16,30,28108800,28108800,1.00000000,60800,60800,202.66666667,1.00000000,0.00000000,L0=64.00/64;L1=32.00/32;L2=512.00/512,0.00000000,0
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_exact,0.00000000,validation,100,0.74326984,0.54000000,0.57142857,0.32000000,0.41025641,38,12,34,16,26,28108800,27027832,1.03999462,29137,60800,97.12333333,0.47922697,0.52077303,L0=31.62/64;L1=13.43/32;L2=246.32/512,0.00000000,0
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.02500000,validation,100,0.74309503,0.54000000,0.57142857,0.32000000,0.41025641,38,12,34,16,23,28108800,27010823,1.04064952,28389,60800,94.63000000,0.46692434,0.53307566,L0=30.99/64;L1=13.15/32;L2=239.75/512,0.00368665,0
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.05000000,validation,100,0.74283552,0.53000000,0.55172414,0.32000000,0.40506329,37,13,34,16,26,28108800,26990732,1.04142415,27641,60800,92.13666667,0.45462171,0.54537829,L0=30.19/64;L1=12.82/32;L2=233.40/512,0.00973187,3
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.07500000,validation,100,0.74362563,0.53000000,0.55172414,0.32000000,0.40506329,37,13,34,16,26,28108800,26976474,1.04197457,26919,60800,89.73000000,0.44274671,0.55725329,L0=29.45/64;L1=12.60/32;L2=227.14/512,0.01838289,3
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.10000000,validation,100,0.74289322,0.53000000,0.55172414,0.32000000,0.40506329,37,13,34,16,25,28108800,26958853,1.04265564,26163,60800,87.21000000,0.43031250,0.56968750,L0=28.79/64;L1=12.31/32;L2=220.53/512,0.03097442,1
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,dense,0.00000000,test,100,0.73416328,0.50000000,0.50000000,0.18000000,0.26470588,41,9,41,9,28,28108800,28108800,1.00000000,60800,60800,202.66666667,1.00000000,0.00000000,L0=64.00/64;L1=32.00/32;L2=512.00/512,0.00000000,0
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_exact,0.00000000,test,100,0.73416328,0.50000000,0.50000000,0.18000000,0.26470588,41,9,41,9,26,28108800,27031223,1.03986416,29307,60800,97.69000000,0.48202303,0.51797697,L0=31.67/64;L1=13.49/32;L2=247.91/512,0.00000000,0
